Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Dec 2018)","FOB (BAHT)(Dec 2018)","Quantity (Jan - Dec 2018)","FOB (BAHT)(Jan - Dec 2018)"
2561,12,2,BO,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,51,3289
2561,12,2,CA,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,11747,2015450
2561,12,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",1112745,42076582,15993002,550692230
2561,12,2,GB,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,8000,392037
2561,12,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",3021,140255,261639,9096222
2561,12,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",558141,24123449,4215018,181390542
2561,12,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",2500,142252,40480,2194213
2561,12,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,1003040,34221221
2561,12,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1570397,40817311,10804769,255962605
2561,12,2,HK,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,1550,99364
2561,12,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",61,6541,44505,847173
2561,12,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",0,0,13737539,176983517
2561,12,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",315000,8485274,22254000,312002435
2561,12,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",578052,10005559,9972225,182751612
2561,12,2,AE,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",9182,681656,331908,23435512
2561,12,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",4520,297344,462006,25534793
2561,12,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",25880,1821654,498805,27624036
2561,12,2,SG,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",0,0,2,45
2561,12,2,SE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,504,31888
2561,12,2,BE,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",4480000,61279961,66571250,914178575
2561,12,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",78346,3569353,887574,38827271
2561,12,2,AE,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",171449,6068444,1865188,97270992
2561,12,2,AE,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",297038,13898921,6534002,239857165
2561,12,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",78545,4259349,1477516,69827348
2561,12,2,GB,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",39230,2157540,410414,25998185
2561,12,2,DE,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,39,4186
2561,12,2,CN,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",50000,924984,2014000,31326863
2561,12,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",16960772,391630850,162597250,3481479046
2561,12,2,LA,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",224960,3764021,1473389,28692485
2561,12,2,LA,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",661210,12225247,4003297,68348400
2561,12,2,CN,10063030,006,KGM,"Glutinous rice 25 % (KGM)",365000,6899076,7531171,135015169
2561,12,2,AE,10063030,600,KGM,"Black Glutinous rice (as sample) (KGM)",261052,16924016,2209236,139462321
2561,12,2,HK,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",105848,2279508,459944,9698276
2561,12,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",139649360,5188353255,1235822810,44609806406
2561,12,2,AU,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",680689,24723341,6335199,215904017
2561,12,2,AU,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",0,0,1525429,43425959
2561,12,2,CM,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",31000,1160747,899200,29117568
2561,12,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",896325,42010348,8834018,405372825
2561,12,2,GB,10063040,505,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (Organic) (KGM)",9000,526824,47140,2605268
2561,12,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",112105972,1437163144,2061448822,26797166311
2561,12,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",2089658,29289123,27480047,390783574
2561,12,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",70048500,867427002,537933172,6854908296
2561,12,2,AL,10063091,004,KGM,"Parboiled rice 5%  (KGM)",250000,3229293,23786541,305512919
2561,12,2,ES,10063091,005,KGM,"Parboiled rice 10% Sortexed (KGM)",0,0,11580000,157347536
2561,12,2,MZ,10063091,007,KGM,"Parboiled rice 15% (KGM)",0,0,22338000,277285941
2561,12,2,BD,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",500000,6181254,50400500,627055331
2561,12,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",22339032,584726569,232968177,6013486818
2561,12,2,AU,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",346776,10666785,1500651,45452273
2561,12,2,FR,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",0,0,24100,691819
2561,12,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",279996,6562809,4795980,109606165
2561,12,2,AE,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",25004,441916,7481105,116020711
2561,12,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",61556409,835943169,489790226,6892386349
2561,12,2,AU,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",47004,1046291,3722414,63461704
2561,12,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",277436770,3635391761,3104476721,41386708621
2561,12,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",1211200,17410285,18336855,252151284
2561,12,2,AE,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",32114662,394313979,174807495,2267707363
2561,12,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",56226,1781303,416636,15326614
2561,12,2,US,10063099,016,KGM,"White non-glutinous rice of Basmati rice (as sample) (KGM)",37954,2159642,37954,2159642
2561,12,2,BJ,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",116448950,1423197668,566905972,7267714880
2561,12,2,ZA,10063099,020,KGM,"White non-glutinous rice 35 % (KGM)",0,0,104000,1273818
2561,12,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",875000,27869730,18316446,351129326
2561,12,2,AE,10063099,090,KGM,"Other (KGM)",3304,747504,16201,2482522
2561,12,2,US,10063099,502,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,318917,17025615
2561,12,2,AO,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",689612,19056136,5270059,162634611
2561,12,2,AO,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",82928670,1050962711,1086121132,13402609236
2561,12,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",55498,2501969,448115,19714299
2561,12,2,CH,10063099,604,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (Organic) (KGM)",1300,105080,2900,235499
2561,12,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",0,0,495,223835
2561,12,2,HK,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",0,0,46059,835792
2561,12,2,AU,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",1207399,26752516,37485801,654032232
2561,12,2,CN,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",79500,1413620,2649485,36136213
2561,12,2,AO,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",26490709,369726631,352806892,4810803170
2561,12,2,AO,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",7869800,81502648,342309842,3812736705
2561,12,2,CG,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",3880,97700,2851304,55231052
2561,12,2,BJ,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",10515103,146789223,192078190,2581636138
2561,12,2,NZ,10064090,018,KGM,"Broken rice parboiled A1 (KGM)",0,0,1354000,15649558
2561,12,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",6963580,118805296,159691600,2585897336
2561,12,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",40000,1020293,380000,10395437
2561,12,2,AO,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",2598000,50566821,50152179,683222929
2561,12,2,HK,10064090,601,KGM,"Broken rice parboiled, n.e.s. (as sample) (KGM)",0,0,6,93
2561,12,2,BE,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",6116745,86494652,45898727,638146636
2561,12,2,CI,10064090,603,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",0,0,2500003,25088496
2561,12,2,HK,10064090,604,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (KGM)",3000,64553,3691,101766
